so_no,sku,delivered_qty
289211,2200874709155,1
289211,2200874871418,1
289211,2200874871616,2
289211,2200874871623,5
289211,2200874871630,2
289211,2200874871647,2
289211,2200875292021,2
289211,2200875292038,2
289211,2200875292045,3
289211,2200875292052,1
289211,2200875724935,1
289211,2200875725239,2
289211,2200875725246,1
289211,2200875725253,2
289211,2200875725260,1
289211,2200875725277,1
289211,2200875725284,1
289211,2200876467688,1
289210,2200871838360,2
289210,2200873675284,1
289210,2200874248616,1
289210,2200874793093,1
289210,2200874862645,1
289210,2200874871401,1
289210,2200874871630,2
289210,2200875063300,1
289210,2200875505169,1
289210,2200875505176,1
289210,2200875670249,2
289210,2200876254387,1
289210,2200876985465,1
290029,2200875730202,1
290029,9000007,1
253586,2200865413245,10
253586,2200865922518,9
253586,2200865922532,13
255718,2200828955416,10
253352,2200860809531,1
290033,2200868197784,1
290033,2200874758085,1
290033,2200875645377,1
290033,2200875926889,1
290033,2200876044018,1
290033,2200876853061,1
290033,2200876919590,1
290033,2200877058434,1
290033,2200877340393,1
290033,2200877422761,1
290033,2200877592389,1
290033,2200877609674,1
290033,2200877708353,1
290033,2200877733294,1
290033,2200877831037,1
290033,2200877871453,1
290033,2200878054985,1
290033,2200878055333,1
290033,2200878064663,1
290033,2200878180882,1
290033,2200878216093,1
290033,2200878267460,1
290033,2200878275663,1
290033,2200878366330,1
290033,2200878466153,1
290033,2200878859177,1
290033,2200878950010,1
290033,2200878970445,1
290033,2200879007607,1
290033,2200879205324,1
290033,2200879416416,1
290033,2200879530525,1
290032,2200858163423,2
290032,2200860703686,1
290032,2200862994617,1
290032,2200867669299,2
290032,2200869622780,1
290032,2200872164185,1
290032,2200872731011,1
290032,2200873140430,1
290032,2200875139890,1
290032,2200876031971,1
290032,2200876191217,1
290032,2200876386040,1
290032,2200876530771,1
290032,2200876551400,4
290032,2200876551417,2
290032,2200876551424,5
290032,2200876551455,1
290032,2200876551462,3
290032,2200876648377,1
290032,2200876662656,1
290032,2200876805558,1
290032,2200876820193,1
290032,2200876893326,1
290032,2200877253525,1
290032,2200877465003,1
290032,2200877535546,1
290032,2200877536550,1
290032,2200877536598,1
290032,2200877591337,1
290032,2200877678403,2
290032,2200877708360,1
290032,2200877708377,1
290032,2200877767701,1
290032,2200877810698,1
290032,2200877838852,1
290032,2200877844600,1
290032,2200877860105,1
290032,2200877873570,1
290032,2200877896494,1
290032,2200877938644,1
290032,2200878042814,1
290032,2200878045457,1
290032,2200878055623,1
290032,2200878055647,1
290032,2200878062973,1
290032,2200878064441,1
290032,2200878136940,1
290032,2200878178322,1
290032,2200878268757,1
290032,2200878298754,1
290032,2200878307661,1
290032,2200878460281,1
290032,2200878535804,1
290032,2200878562459,2
290032,2200878562466,1
290032,2200878594733,1
290032,2200878672257,1
290032,2200878672752,1
290032,2200878694396,1
290032,2200878698134,1
290032,2200878729760,1
290032,2200878800599,1
290032,2200878843343,1
290032,2200878848898,1
290032,2200878854950,1
290032,2200878895724,1
290032,2200878895977,1
290032,2200878914753,1
290032,2200878922840,1
290032,2200878925308,1
290032,2200878949939,1
290032,2200878950010,1
290032,2200879076375,1
290032,2200879218607,1
290032,2200879327248,1
290032,2200879416409,1
290032,2200879444624,1
290032,2200879654900,1
255695,2200828955362,3
255695,2895542900000,10
289654,2200878303403,1
289654,2200878838462,1
289654,9000006,1
289654,9000007,1
289739,2200878848867,1
289739,9000006,1
289952,2200877675211,1
289952,2200877675747,1
289952,2200877675877,1
289952,2200877744269,1
289952,2200877744313,1
289952,2200877744320,3
289952,2200877744429,1
289952,2200877744504,4
289952,2200877744511,1
289952,2200877744542,3
289952,2200877744559,3
289952,2200877744566,3
289952,2200877744573,1
289952,2200877745921,2
289952,2200877745938,2
289952,2200877748038,1
289952,2200877748083,1
289952,2200877748113,1
289952,2200877748120,1
289952,2200877748168,1
289952,2200877748175,2
289952,2200877748830,1
289952,2200878012305,3
289952,2200878012312,1
289952,2200878012381,2
289952,2200878012404,1
289952,2200878060542,1
289952,2200878060559,2
289952,2200878060566,1
289952,2200878060573,2
289952,2200878166022,1
289952,2200878166039,1
289952,2200878166060,1
289952,2200878878772,2
289952,2200878878789,3
289952,2200878878796,1
289952,2200878878802,2
289952,2200878878819,1
289952,2200879021115,2
289952,2200879021184,1
290030,2200878136421,3
290030,2200878136438,1
290030,2200878136452,1
290030,2200878136476,2
290030,2200878453832,3
290030,2200878453849,2
290030,2200878453856,1
290030,2200878453863,4
290030,2200878453870,1
290030,2200878453887,2
290030,2200878453894,1
290030,2200878453900,1
290030,2200878884155,2
290030,2200878884162,3
290030,2200878884179,2
290030,2200878884186,3
290030,2200878884193,1
290030,2200878884209,2
290030,2200878884254,1
290030,2200878884261,2
290030,2200878884278,2
290030,2200878884285,2
290030,2200878884292,1
290030,2200878922635,4
290030,2200878922642,3
290030,2200878922666,5
290030,2200878922673,2
290030,2200878922680,2
290030,2200878922697,4
290030,2200878922703,1
290030,2200879045180,2
290030,2200879045197,2
290030,2200879045227,1
290030,2200879045234,1
290030,2200879045241,2
288618,2200878887668,1
288618,9000006,1
254446,2200865173613,10
254446,2200865173644,20
254446,2200865412699,6
254446,406,0
255354,2200828955362,5
255354,2200846384755,5
252931,2200867383713,5
252931,2200867592696,4
252931,2200867594539,4
289886,2200868719405,1
289886,2200870349683,1
289886,2200872195813,1
289886,2200872691971,1
289886,2200874730074,1
289886,2200875882468,1
289886,2200875882512,1
289886,2200877672289,1
289886,2200877941613,1
289886,2200878055296,1
289886,2200878063550,1
289886,2200878063659,1
289886,2200878669523,1
289899,2200865999626,1
289899,2200869163412,2
289899,2200869170502,2
289899,2200871235732,2
289899,2200871235749,1
289899,2200874119060,1
289899,2200875519579,1
289899,2200875733395,1
289899,2200876460061,1
289899,2200877675174,1
289899,2200877853343,1
289899,2200878671526,1
289900,2200861437504,1
289900,2200861599868,1
289900,2200862931001,2
289900,2200865588400,1
289900,2200865588585,1
289900,2200867080629,1
289900,2200869119716,1
289900,2200869146736,1
289900,2200876043950,1
289900,2200876043967,1
289900,2200876044001,2
289900,2200876044018,1
289900,2200876044056,2
289900,2200876044063,1
289900,2200876044070,2
289900,2200876044087,1
289900,2200876044100,3
289900,2200876044117,2
289900,2200876467671,2
289900,2200876467688,1
289900,2200877475392,1
289900,2200877638506,1
289900,2200877767619,1
289900,2200878163717,1
289900,2200878179237,1
289901,2200863638442,1
289901,2200864316844,1
289901,2200866273800,1
289901,2200869163412,1
289901,2200869165492,1
289901,2200869170502,1
289901,2200871235732,1
289901,2200871769343,2
289901,2200874400625,1
289901,2200876119341,1
289901,2200876537398,1
289901,2200876578230,1
289901,2200876840528,1
289901,2200877015888,1
289901,2200877173564,1
289901,2200877317845,1
289901,2200877654285,1
289901,2200877732570,1
289901,2200877733423,1
289901,2200877750185,1
289901,2200877951001,1
289901,2200878139262,1
289901,2200878268733,1
289901,2200878409242,1
289901,2200878460328,1
290169,2200860703815,4
290169,2200860703822,1
290169,2200860703853,1
290169,2200860703945,1
290169,2200860970262,1
290169,2200860970286,1
290169,2200861397907,1
290169,2200866887069,1
290169,2200866887151,1
290169,2200867080919,1
290169,2200868078557,2
290169,2200868078571,2
290169,2200871779083,1
290169,2200872801868,1
290169,2200872824478,1
290169,2200873239325,1
290169,2200874835946,1
290169,2200874894196,1
290169,2200875945866,1
290169,2200877119463,1
290169,2200877746980,1
290169,2200878159925,1
290169,2200878400225,1
290169,2200878607303,1
290173,2200877162957,1
290173,2200878535804,1
290174,2200856058677,1
290174,2200862084035,1
290174,2200866788342,1
290174,2200866788366,2
290174,2200866788373,3
290174,2200866788724,7
290174,2200866788731,6
290174,2200866788748,4
290174,2200869866023,1
290174,2200870322402,1
290174,2200874034622,1
290174,2200874480344,1
290174,2200874791396,1
290174,2200874994087,1
290174,2200875063300,1
290174,2200875695525,1
290174,2200875913483,1
290174,2200876044018,1
290174,2200876044124,1
290174,2200876054147,1
290174,2200876434475,1
290174,2200877592501,1
290174,2200877606420,1
290174,2200877748038,1
290174,2200877748816,1
290174,2200877882404,2
290174,2200878063529,1
290174,2200878063567,1
290174,2200878063581,1
290174,2200878260751,1
290174,2200878275250,1
290174,2200878289325,1
290175,2200865182448,1
290175,2200866788342,1
290175,2200869586778,1
290175,2200874280173,1
290175,2200874744163,1
290175,2200874860160,1
290175,2200874905519,1
290175,2200875267319,1
290175,2200875405780,1
290175,2200875853697,1
290175,2200876484548,1
290175,2200877606345,1
290175,2200877745891,1
290175,2200877942962,1
290175,2200878063543,1
290175,2200878063550,1
290175,2200878689330,1
289894,2200837779942,2
289894,2200868341491,1
289894,2200869216880,1
289894,2200869803240,2
289894,2200869803264,5
289894,2200869803288,2
289894,2200872171886,1
289894,2200872520097,1
289894,2200872794900,1
289894,2200874817393,1
289894,2200874895186,1
289894,2200876193709,1
289894,2200876193716,2
289894,2200876199961,1
289894,2200876200001,1
289894,2200876238806,1
289894,2200876642412,1
289894,2200876867631,1
289894,2200877166603,1
289894,2200877214106,1
289894,2200877226291,1
289894,2200877683803,1
289894,2200877881926,1
289894,2200877881933,1
289894,2200877881964,1
289894,2200877959694,1
289894,2200878131679,1
289895,2200858163447,1
289895,2200868719429,1
289895,2200869216880,1
289895,2200870522253,1
289895,2200871463067,1
289895,2200873492935,1
289895,2200874817416,1
289895,2200874871616,1
289895,2200876070628,1
289895,2200876194348,1
289895,2200876380581,1
289895,2200876603772,1
289895,2200876630501,1
289895,2200877436096,1
289895,2200877541196,1
289895,2200877564164,1
289895,2200877606697,1
289895,2200877705857,1
289895,2200877877639,1
289895,2200877881957,1
289895,2200877881964,1
289895,2200877881995,1
289895,2200877916079,1
289895,2200878125807,1
289895,2200878345045,1
289895,2200879270056,1
289896,2200860703754,1
289896,2200860703822,1
289896,2200860703877,1
289896,2200862930776,1
289896,2200862930783,1
289896,2200862930837,1
289896,2200864256386,1
289896,2200866886086,1
289896,2200867080667,2
289896,2200869146736,1
289896,2200871220103,1
289896,2200872485426,1
289896,2200872533158,1
289896,2200874287509,1
289896,2200874817416,1
289896,2200874895131,1
289896,2200874895193,1
289896,2200874895209,1
289896,2200876044001,1
289896,2200876044056,1
289896,2200876044117,1
289896,2200876044124,1
289896,2200876193686,1
289896,2200876238813,1
289896,2200876322154,1
289896,2200876630501,2
289896,2200877829393,1
289896,2200878232239,1
289897,2200859472074,1
289897,2200860703860,1
289897,2200862930820,1
289897,2200866887847,1
289897,2200867080568,1
289897,2200869119716,1
289898,2200878493791,1
289898,2200878561469,1
289898,2200878775125,1
289898,2200878996414,1
289902,2200859472074,1
289902,2200860704003,1
289902,2200866710886,1
289902,2200867558197,2
289902,2200868058320,1
289902,2200874871630,1
289902,2200875948041,1
289902,2200876044063,1
289902,2200877008118,1
289902,2200877310402,1
289902,2200877427193,1
289902,2200877550617,1
289902,2200877692874,1
289902,2200877693437,1
289902,2200877728702,1
289902,2200877874973,1
289902,2200877919421,1
289902,2200878045457,1
289902,2200878323630,1
289902,2200878515134,1
289902,2200878562282,1
290170,2200858163416,1
290170,2200860703747,1
290170,2200860703792,1
290170,2200860703846,1
290170,2200863562709,1
290170,2200867022216,1
290170,2200867080605,2
290170,2200867080667,2
290170,2200867080728,1
290170,2200868937175,1
290170,2200868960364,1
290170,2200869119532,1
290170,2200869119617,1
290170,2200869859872,1
290170,2200870507298,1
290170,2200870743504,1
290170,2200871335524,1
290170,2200871476807,1
290170,2200871838162,1
290170,2200871869296,1
290170,2200873879057,1
290170,2200873880442,1
290170,2200873908320,1
290170,2200873909488,1
290170,2200873929912,1
290170,2200874059427,1
290170,2200874282214,1
290170,2200874828580,1
290170,2200874871425,1
290170,2200874871494,1
290170,2200874895209,1
290170,2200875145297,1
290170,2200875222530,1
290170,2200875980812,1
290170,2200875982670,1
290170,2200876012062,1
290170,2200876188590,1
290170,2200876191453,1
290170,2200876228807,1
290170,2200876584989,2
290171,2200874358278,1
290171,2200874885859,1
290171,2200876070611,1
290171,2200876264690,1
290171,2200876300862,1
290171,2200876479209,1
290171,2200876602225,1
290171,2200876602270,1
290171,2200876627976,1
290171,2200876814147,1
290171,2200877082378,1
290171,2200877082392,1
290171,2200877082415,1
290171,2200877082453,1
290171,2200877226284,1
290171,2200877498933,1
290171,2200877687528,1
290171,2200877751106,2
290171,2200877763048,1
290171,2200877826316,1
290171,2200877829386,1
290171,2200877871484,1
290171,2200878054497,1
290171,2200878063529,1
290171,2200878063543,2
290171,2200878063581,1
290171,2200878099405,1
290171,2200878244942,1
290171,2200878292523,1
290171,2200878330164,1
290171,2200878455829,1
